,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Quick Asset Turnover Rate,0.003577605875518137,-0.0998292231398402,-0.08307981680862643,-0.09441981384183488,0.23221476069071842,0.23159844618993353,0.08317218845162047,-0.12161129004282892,-0.12107099147030873,-0.1957747273330261,-0.094660882400634,-0.11245987339503107,-0.06073448565963138,-0.11198229379622607,0.2420730605325551,0.013642878039852696,-0.2910940935701192,-0.2910940935701192,-0.30445964774358447,-0.11171080581594112,-0.019321137854512265,-0.14868424776825934,-0.022594552235116947,-0.10541732155396262,0.030504345134175378,-0.15139588238588414,0.04295330173336988,0.041272339418422,-0.023804968162866435,-0.07472345871080258,-0.06368019400866508,-0.05632479062106851,0.04490916473731061,-0.1105542257137616,-0.16107239599224046,-0.02219815089405968,0.10398113009223027,0.10619981317260527,-0.10619981317260571,-0.2585124474320968,-0.033600279091283304,0.0776378566971871,-0.01771735634391173,-0.1104097215712702,-0.056982817555002375,-0.1006715214194968,-0.23017345417226656,0.17706797428053886,0.09488610572835193,-0.21621832451744494,-0.017975699593019128,-0.2573414868140614,-0.07855061992759094,-0.26980594750797177,-0.1392612417218011,-0.16193416340158887,-0.1221709717924863,-0.12287067071905367,-0.16655337386669325,-0.15484576687106638,0.03552641842722282,-0.03232427237734283,-0.023412650719844854,0.07171172114436422,4.8802379897775e-05,-0.0869563939407639,-0.054472930983466956,0.030811546144559877,-0.1697804874659687,-0.147145558223263,0.24486445815827193,0.09589009071547427,1.0,-0.18712193400465932,0.27872394225126373,0.06724258047675477,0.13305075227164564,4.880237989777343e-05,-0.05447293098346689,0.008622844653627861,-0.03638037586743887,-0.13676735300535606,-0.026450243681734032,-0.0771332420021487,0.12737245101299424,0.07530796990996524,-0.09429482316489678,-0.1916161654496469,-0.01969604960323572,0.2322165878979552,0.06527108793186695,-0.032278511605889605,0.11186917806616521,-0.11088147831525416,,-0.07136353317778177
 Working capitcal Turnover Rate,-0.09712996609768922,0.11983876707087837,0.12861908721377327,0.1142509804683619,0.019642594891047898,0.018479523520018668,0.04022339102382189,-0.1895930570240978,-0.19863308419993866,-0.25589509451657066,-0.2834287671501095,-0.0472316898328171,-0.009416711036248686,0.18701365607045528,-0.03569942492344188,0.1490595899809066,0.39427766884622806,0.39427766884622806,0.49898795713770194,0.08922620853653192,-0.05571823493023759,-0.12237586162482106,0.08820438128774302,0.0820253399479916,0.2767296603610221,-0.030606969696005414,0.043390262522930566,0.045640935926438315,0.044387326615767934,0.19886784476127156,0.16239891316963953,0.09536915145691235,0.04379944761729856,0.48979380914677634,0.3979294417892015,-0.16100629133834055,-0.18751034748701012,-0.28098884887084374,0.2809888488708437,0.12720989589745377,-0.1429857134670384,-0.11325848079167866,0.08786862055302457,0.11688953781286567,0.06843670358233614,-0.07164420643661361,-0.08744244277871988,0.08651923117755748,-0.005270221673704883,-0.023595373776935248,-0.22259858690361498,-0.03645094831708781,0.015893014299944584,0.4578045680585709,0.5934741840144223,0.23039103010152845,0.34096097708166706,0.0974690729761576,0.4147990580500813,0.8308289676566886,-0.3223044495338193,0.1537367463741652,-0.02922855814319564,0.4888797144069067,-0.13282089690308016,0.49738533505964017,-0.08407838363812477,-0.22804255448811103,0.21485499559071114,0.1208280431196995,-0.13394224184132447,-0.18185402842225643,-0.18712193400465932,1.0,0.07063902098163254,0.06347604355304207,-0.18925761783548448,-0.13282089690312784,-0.08407838363809278,-0.10556114227391211,0.11216688964653417,0.12466145434492353,0.07462225470825964,0.11146901707704605,-0.5906759206315573,-0.06321178619398973,0.17065214084937103,0.06390250222453593,0.3687773794056728,0.019644413415336594,-0.03283065342364829,-0.06290647255312583,-0.08213243547860358,0.08082383627181529,,0.26223268759692836
 Cash Turnover Rate,-0.12664091862164809,-0.08640868257441428,-0.13669716349469413,-0.09740979025620994,0.2660252658263375,0.2662676503515075,0.09696152248600279,-0.013508057798632667,-0.023713238679751104,-0.07015763714074313,0.03086895993590139,-0.22047806975171386,0.05214536739792432,0.0863332195733536,0.07031150970623176,0.1534730692386369,-0.056585785181551655,-0.056585785181551655,-0.07318278654959509,-0.06909817925702334,0.02332340849075823,-0.23519645724923052,-0.048295452801187626,-0.07741584778602684,-0.04701319008468965,-0.22431887648918541,0.06674816397945829,0.06712559179575113,-0.02876105590420712,0.14208342001049973,-0.08726556402921064,-0.1861489136345686,-0.03453990532938675,0.19019575167674366,0.21127433424232728,-0.034124980914918494,0.06111716778128875,-0.1811207105211269,0.181120710521127,-0.12574653721086104,-0.3209362765611706,-0.2526663653504059,-0.04756485803983296,-0.07421250808576665,-0.27801973607070735,-0.11517731912565933,-0.2559008297318201,0.21091308397973188,-0.02402008108805886,-0.03335528976037091,-0.09785511923674849,-0.19486959403707402,-0.1125121039072277,-0.17503949588065035,0.15834251949500325,0.09423073149810632,0.05985489973176497,0.3645237516656447,0.19572525774609006,-0.07303124988317324,-0.11558859350864216,0.17068364560475016,-0.05526676130733844,0.10333857070104323,0.1190708892199277,0.23380050770975797,-0.28548489646537956,-0.23173299758899452,-0.03911728095876692,-0.07503270028169877,0.282074758582376,-0.16076693485369195,0.27872394225126373,0.07063902098163254,1.0,0.15669230558129912,0.12863700935352995,0.11907088921992762,-0.2854848964653792,-0.31883363695944117,0.22272039543170055,0.0634226984676891,0.051344235973928884,-0.14622756007191368,-0.18479598107155615,0.2083874457889308,-0.10292221369853799,-0.27850784783118776,0.1548281421894089,0.2659945586759678,0.22255932862246372,-0.29279993023328343,-0.013156470110285225,-0.03377751552441188,,0.25756544931517883
 Cash Flow to Sales,-0.11322151085659092,0.015540989275702218,-0.027312362416995525,-0.0068662016077213174,0.10649193773576955,0.1059612513988048,0.15270306055478872,0.0448650515864649,0.026788631394833406,-0.02892400852946775,0.023659190632312668,0.04694453492953953,0.0726477290855337,0.07757483991311755,0.06529099906535411,0.06168742246102375,-0.04601097871627683,-0.04601097871627683,-0.043860933115134365,0.00029800603598419524,0.16012178594276422,0.10627912256892232,0.12021909603685839,0.01944515335637979,0.022954489729118288,-0.011115003672583277,-0.049355074736737274,-0.04820640661950174,-0.09877329001119586,0.12159307635442569,-0.009915485897279138,-0.13910593804849167,0.016458451023774273,0.15244699920019383,0.12555443423638363,-0.012465587435418278,0.06628075313799887,-0.08908303642382849,0.08908303642383006,-0.03460051040228975,-0.21517911508652235,-0.053449400819232024,0.12108613586346613,0.02561499835667309,-0.08826394484957899,0.1905061613840742,-0.09792911274533561,0.10624704332346824,-0.07310817067218899,-0.43907660674143667,0.1455908278104273,0.020642226241623617,0.05256753961985407,-0.12675564475803383,0.2169422104333165,0.21249945807333007,0.2316975014167015,0.27950074068158365,0.1316511049408168,0.003291981025261434,-0.01598570598299435,0.18526392721955273,0.01603708489926169,0.1458027943551005,0.13865628234382785,0.22414687407565084,-0.19395247641574395,-0.08059998359390681,-0.030057002162472674,0.06089451165814417,0.1937345649568251,-0.029273839958606097,0.06724258047675477,0.06347604355304207,0.15669230558129912,1.0,-0.03380362197556448,0.1386562823437687,-0.19395247641591584,-0.19551071551450305,0.8197148680385485,0.7152139965515079,0.1258103240754885,0.097371215970594,-0.1227399919522112,0.15838393549022486,-0.004901465441772586,-0.09627718167835157,0.06966490127432157,0.10646612254209556,0.18288481130718248,-0.20473493760563327,-0.006965733651836086,0.00453038383037219,,0.1321386871288927
 Fixed Assets to Assets,0.05233902439478246,0.15159694032181137,0.06611601780904919,0.13900793187084332,0.09217200412174337,0.09278117854342327,0.08269486204328325,-0.157778503854116,-0.17112540499954892,-0.24009155722812123,-0.13036615883655384,0.05487585015466875,-0.2145817961242264,0.16482990066285202,0.2984427161652977,0.10892300632104923,-0.12379295704583747,-0.12379295704583747,-0.1359746947272784,0.06609946894809522,0.36727037067965385,0.0267359810827665,0.20895108529532194,0.06496679405410083,0.029066433305192495,-0.010322502531476993,0.10153055551237314,0.09803374027034442,0.12996340171151077,-0.07642059794906532,0.07516729148322113,0.07831369256021951,0.35354991938898905,-0.14469594982472528,-0.11544890793311967,0.18192451822449954,-0.0016541422493272357,0.13019026232256395,-0.1301902623225649,-0.7143217000329407,0.16862555002739363,-0.20244678811395475,0.20907084772442008,0.06078602285392875,0.09578011573282408,-0.037222155730002475,0.060034383854253436,-0.0194976376322788,-0.16026156481523596,0.16789712409037907,-0.018533508412270496,0.06031699666592063,0.08401821932457089,0.2028360797432488,-0.2220036676217863,-0.11335737946141226,-0.11486648403947795,0.03461680440369148,-0.1354692748297465,-0.06215361404941468,0.13262507995908665,0.2665696329237289,0.010324350766573032,-0.11216362948090185,0.1312436129047058,-0.24919405943079603,0.15709058165150808,-0.11621843053184885,-0.1133744787098801,-0.13121996340995065,0.05406911015041251,0.18399815531185992,0.13305075227164564,-0.18925761783548448,0.12863700935352995,-0.03380362197556448,1.0,0.13124361290470576,0.15709058165150794,0.15933424043374508,-0.13687788705566875,-0.05241090368099236,0.3716840804770748,0.06261890184739038,0.2449451398255989,-0.10146493656486909,0.03178859549346244,-0.2886198559548024,-0.13708508879675155,0.09216144934240326,-0.1114970020375407,0.16780094452181088,0.07760697009985369,0.0020156766899830448,,-0.10575187446279939
 Current Liability to Liability,0.192011348590985,-0.017421526216363736,-0.09009612763834289,-0.04022755451229263,-0.2565297454221523,-0.2565598706742553,-0.06336439760421182,-0.055819417627801,-0.06569723984357653,-0.033841785476175036,-0.016364248837977966,0.21074272359933827,-0.39854183528523174,-0.27287701734550385,0.32446598742374994,0.08251625607472507,-0.14036170957101607,-0.14036170957101607,-0.1517434552238585,-0.07534613200290768,-0.04520975289900491,0.4163286988640597,0.036972131591780893,-0.0770679918565849,-0.07411817245470403,-0.14763598660652233,-0.12415237261015573,-0.12456651551944099,-0.12189678432803851,0.177641472801668,-0.10364475078102067,-0.05544888394250494,-0.08724145590806681,-0.17464662051916374,-0.1400651957967851,0.09191259210714176,0.11413707192234031,0.013299229718372182,-0.013299229718373537,-0.1980774446886789,-0.004517192921116749,-0.12436512750651942,0.03342802732805111,-0.08084865750332004,0.203722968235846,0.4487964756683299,-0.08955943353292851,0.09601311280092428,-0.19580641713348204,-0.29839920546685755,0.40786859094432204,0.15572106335338892,-0.0766139623413416,-0.1386759818454312,-0.023190620553545177,0.5599761346365439,0.5670279818846677,0.31996939541541175,-0.1372133723231652,-0.07178799694990823,0.5646001022247141,0.13678042879685512,-0.11180104957684353,-0.20100378522214002,1.0,-0.045975563971447385,0.08983286342174084,-0.5910690647942088,-0.08334075103877304,-0.08455953218937252,0.14101126989733237,0.05046441000859355,4.880237989777343e-05,-0.13282089690312784,0.11907088921992762,0.1386562823437687,0.13124361290470576,1.0,0.08983286342174066,-0.31144386655798173,0.07935228693700792,0.10115874204407448,-0.03409937203624633,-0.0874268192517283,0.14454928631078542,0.08392462020026852,-0.10217667653089206,-0.4782442141674924,-0.001939376637022469,-0.25655279045259294,0.06810752386680934,-0.03753627090600869,-0.10630578527997868,0.1173722737187306,,0.1718236848423749
 Current Liability to Equity,0.03684485200005237,0.5764766813180398,0.6269836910985506,0.6104962880474452,-0.059434842208060064,-0.059310751298275496,0.07908475528074087,0.0965402319698329,0.1109598331366152,0.07548842448281615,0.0975122792955726,0.07913243913740883,-0.0799409336582025,-0.1055723472839781,0.17990577474344888,-0.012312966958660118,0.15913601834219634,0.15913601834219634,0.16178941975883995,0.44703776188572325,0.03901679923537218,0.04587786369712189,0.23675839664636716,0.42836973286265106,0.06055620227270219,0.09081487189704536,0.08739804635539954,0.08597417702114299,0.4547659637275884,-0.152975067757024,0.49299291711787196,0.8107063597336898,0.414945621170183,-0.15735568993174906,-0.1541870852609326,0.15074211347569416,-0.5621912505418782,0.009799431166383562,-0.009799431166383732,-0.07626832503086227,0.981362907994619,0.500021220052214,0.2313231984186443,0.4117364628408741,0.9041986562287861,-0.1350322420560451,0.03402465405216767,-0.00437925222041881,-0.04618312259534698,-0.0008224896186437606,-0.3114067293562499,-0.007732190375697083,0.17522115985344391,0.12636837069851647,-0.12461668030714648,-0.17776968813457483,-0.10259294235487841,-0.3504158958631001,-0.16213801194130062,0.04837669264593694,0.03819242092445746,-0.06499026973943939,-0.02082227361262462,-0.08498039917932038,0.08983286342174066,-0.7925415723695397,1.0,-0.035313747912977596,0.28588543215410284,-0.004596508707082714,-0.5264370130531292,-0.04342246270938974,-0.05447293098346689,-0.08407838363809278,-0.2854848964653792,-0.19395247641591584,0.15709058165150794,0.08983286342174066,1.0,0.7975865279371979,-0.482578179736246,-0.16855438048279278,0.06602753403567142,0.8018295320988527,0.22072571756554168,-0.8931681544486673,0.5591385563575189,-0.008365902486333916,-0.17620578319295285,-0.05941992010980293,-0.9225559944434937,0.9853762216082956,0.04455332047779208,0.009993647211324378,,-0.13043458829495214
 Equity to Long-term Liability,-0.12177329488280912,0.5756139311285366,0.6326720298238235,0.6159986627082872,0.02005167029138198,0.02028695510966479,0.13564031673158378,0.1052154466245805,0.1315603043073997,0.054957127209702916,0.1139923600976199,0.03857334300100741,0.05087057882553443,-0.041666881512705166,0.08368566673412405,-0.012612434369259243,0.20992048699257973,0.20992048699257973,0.20990763594937567,0.504873660781931,0.14811380472165017,-0.10525798232231098,0.2929948849145829,0.4719836323782681,0.14713017043982896,0.10286449113617568,0.11546734376002367,0.11378827647387173,0.45275878382562446,-0.1649109354733774,0.5247995223538678,0.7214102491009581,0.49036703129294384,-0.17095205000311292,-0.20134749173858119,0.07021173508531131,-0.5645925130545568,0.004238216010176543,-0.004238216010176126,0.01762542170748203,0.8785444340888661,0.4263460494317095,0.29079802372519875,0.45827940225139535,0.6789143264558143,-0.2750478865612576,0.06187925109898141,-0.045347946628847856,0.14804731712339889,0.0044530446485944765,-0.4639682729940547,-0.07194506490822199,0.27154780125551753,0.16647460865072033,-0.07876747911887054,-0.4099764387901459,-0.3463412738829142,-0.42100158911136215,-0.2045700945168371,0.00990347651759123,-0.2436050991575158,-0.061065046333967664,0.08136717469666573,-0.02137098490197616,-0.31144386655798173,-0.6223687402379613,0.7975865279371979,0.41384757689543095,0.31712656954323787,0.03754844558063114,-0.5567930941965208,-0.08928857859799486,0.008622844653627861,-0.10556114227391211,-0.31883363695944117,-0.19551071551450305,0.15933424043374508,-0.31144386655798173,0.7975865279371979,1.0,-0.4432394935775804,-0.18057672494407048,0.15491763646644166,0.7533334705197811,0.15879402044977595,-0.8212047495346573,0.5740561610193241,0.25166691712893574,-0.3221113151587723,0.02007517858281737,-0.8255575826523897,0.8631548084410661,0.025076637666753603,-0.059244506104796195,,-0.18341950555988704
 Cash Flow to Total Assets,-0.13303129715801168,-0.1732367149262328,-0.23179170579386899,-0.20895955856231477,0.10424322065908968,0.1037903153239788,0.14742776272544766,0.01508541209382354,-0.008547588157056297,-0.06273744289183054,-0.008536596144338826,-0.022747205753664144,0.14519442903584687,0.09922654375009293,-0.053190346052744024,0.06264582233982272,-0.053859603294835856,-0.053859603294835856,-0.053251942392062886,-0.14368531924850034,0.09316321814250679,0.07244900320862387,0.04536801149653885,-0.12171844300183365,0.03406757466496266,0.01366879764282714,-0.07381059465714489,-0.07319567669882814,-0.23742561187596214,0.20181289194236385,-0.16663594453179678,-0.40106766833842034,-0.150914088381159,0.251331580653974,0.24665223248603685,-0.03574467535720979,0.264418123786161,-0.07498558004740351,0.07498558004740519,0.04703157678657545,-0.4972538171277112,-0.2292577908249993,0.0478804274334004,-0.10991448875705684,-0.3660842453231789,0.186555157578763,-0.14793284107943871,0.12636582472163546,-0.033086945226549785,-0.3184439562463146,0.2290561812417371,-0.011206262668565264,-0.01521733738863342,-0.1518360880522589,0.26394058102056606,0.32507510673214945,0.288623993398912,0.45653958681499685,0.2576297534250743,-0.0016818423739764705,-0.013046099109801469,0.17788588413214385,-0.03321979196925073,0.13907568745205676,0.07935228693700792,0.45667742684944646,-0.482578179736246,-0.0875176739436432,-0.1074112204356642,0.07609625748775949,0.3086058966245783,-0.06750620099639149,-0.03638037586743887,0.11216688964653417,0.22272039543170055,0.8197148680385485,-0.13687788705566875,0.07935228693700792,-0.482578179736246,-0.4432394935775804,1.0,0.8268129501382288,0.05110304059205835,-0.15129058449155391,-0.18579469745725205,0.4357611154386502,-0.18740032557383968,-0.09123136451604928,0.1269977018952,0.10422225528587073,0.4681871516328895,-0.48960490706014304,-0.018222534590260953,0.012633064882429643,,0.1929909555861564
 Cash Flow to Liability,-0.14281800457348798,0.03750191062858047,-0.016261225438508657,0.014082880480657384,0.05742798750232037,0.0569241118782284,0.1583544514680845,0.05706262270815506,0.038275247961333456,-0.016989084868897397,0.0464767855954988,-0.045546733718997916,0.16379403852556418,0.22213979440710857,-0.01794234097068759,0.12689477723219666,0.046883370572848714,0.046883370572848714,0.044438048535719234,0.023667475737820624,0.12017435100292127,0.021676383110415632,0.103991420388311,0.030501054965299892,-0.02344272369563078,0.07411247282158594,-0.019542773573317476,-0.0191778563715016,-0.06728736494327307,0.1480846677597997,0.026314084906352543,-0.13551766118550862,0.047234901155826604,0.36372083706123065,0.35455130426084447,-0.04250756959698123,0.009623890728235232,-0.1815765490116754,0.18157654901167686,0.018124594152941095,-0.18971598720339664,-0.11152000377540824,0.1047520428502617,0.03535039457464846,-0.10313229135213,0.09951095143147108,-0.1445332594671762,0.13655716865773604,0.11250171258407184,-0.2488035000626313,0.04238883056246064,-0.04536817052283802,0.043572692196576855,-0.12681735425034762,0.31473350637813985,0.2860787106104763,0.2606419013741287,0.45828987237447044,0.370099400556719,-0.008232244283179821,-0.09500225791929279,0.3089365780684237,-0.05333641689185135,0.20809198514737492,0.10115874204407448,0.242973189971369,-0.16855438048279278,-0.11604157800936085,0.03892710580908351,0.06790994703854586,0.08527328551757153,-0.12998132732556275,-0.13676735300535606,0.12466145434492353,0.0634226984676891,0.7152139965515079,-0.05241090368099236,0.10115874204407448,-0.16855438048279278,-0.18057672494407048,0.8268129501382288,1.0,0.1444608281512781,0.10660479649332012,-0.20517447709948844,0.11442499995988475,0.008531534866546684,-0.09831476415897632,0.15441217987343533,0.057401467499052124,0.13535020208407958,-0.18226733506473125,-0.019995600746846025,0.012892156981260635,,0.31444410081368773
 CFO to Assets,-0.5034809553834574,0.6114006111822589,0.5079693110760375,0.5788347268894166,0.22500522966563896,0.22517438147806534,0.5112561543095661,0.38154314154715535,0.3515557645794596,0.18835476278015015,0.39151904753565,-0.005407452585971768,0.1442237932690907,0.7321269128550418,-0.015825960924335723,0.4212395186651036,0.4844343935775045,0.4844343935775045,0.46247468606401654,0.5947228311958148,0.9649094469531663,0.15931442208016688,0.6422881882570182,0.5900065360952527,-0.27767162120402006,0.013240249564939027,0.17553663352305063,0.1774453872606542,0.30147435164028585,0.004457067960778618,0.5177362630890717,0.2928420722516637,0.8681605001512797,0.3693596617336104,0.3046518126775136,-0.03206224795901241,-0.4881557688299926,-0.5123940082478475,0.5123940082478472,-0.09328458510938321,0.03959757559677987,-0.12501711261248777,0.6428394008250118,0.5907126942901002,0.1127743122198945,0.1811770044316263,0.16288733460652627,-0.0781399886822784,0.062060156236550014,-0.06673688740091514,-0.15791418811002078,0.1404539060739241,0.5636721940281431,-0.0890047261948176,0.4111059682133526,-0.08053326146218977,-0.013551052686553662,0.06537132442595842,0.29614658164382107,-0.1576057079675207,-0.4608043827090927,0.7998674503845642,-2.2097030947706453e-05,0.4102385710310286,-0.03409937203624633,0.09837970149637977,0.06602753403567142,-0.11480798638500007,0.4965639415422817,0.43579405870009175,-0.1633305408851616,0.19829354259506152,-0.026450243681734032,0.07462225470825964,0.051344235973928884,0.1258103240754885,0.3716840804770748,-0.03409937203624633,0.06602753403567142,0.15491763646644166,0.05110304059205835,0.1444608281512781,1.0,0.358389843810726,-0.41173807765167647,-0.29661066650387036,0.5234352710841168,-0.1792707219010335,0.21364994862412737,0.22499100916602494,-0.22378333932527691,0.056546470947702814,-0.06407144374469705,0.0440304650029827,,0.3900597780994173
 Cash Flow to Equity,-0.3406543528496409,0.8209584901266803,0.8526502472011173,0.8486610008973332,0.11842740310236295,0.11826057544747172,0.32376128585084296,0.37003289793207256,0.37524624955433217,0.277637511634327,0.341469960084961,0.05588836026145955,0.12222749861873491,0.18479808500814673,0.0513133338150333,0.11942725751971146,0.5010951975786239,0.5010951975786239,0.49654266305731704,0.7461848442809897,0.32283937553179254,-0.08365491465938962,0.43757754292405837,0.7268630170204882,-0.02038778005906359,0.06207899017759728,0.12599154103517307,0.1261826931740792,0.5033607757867491,-0.015295583960530344,0.7687549556015875,0.8873973189352881,0.6412719541251635,0.1910155050562708,0.16266142712021775,0.033482597541879044,-0.8736834674973155,-0.45822842555184096,0.4582284255518414,0.15437435589719303,0.7741390225337641,0.29545055770905965,0.4322749229946629,0.7161061222008905,0.7499093011576664,-0.1486675885473524,-0.037106283120019734,0.06308501084745222,0.050386521389685066,-0.05056827414994862,-0.5582704958424913,-0.09376436542028356,0.3875497467168674,0.01487715513001214,0.29847408529952857,-0.21453640649698702,-0.13913679380012559,-0.24513327713248875,0.15569417490455514,0.01374465357945205,-0.4575396219078623,0.19564929881167278,0.04701793554918494,0.20581945135020574,-0.0874268192517283,-0.47068755651809385,0.8018295320988527,0.0050998798788731495,0.603486266633726,0.28356999295173607,-0.6242993144968865,-0.14699569102351004,-0.0771332420021487,0.11146901707704605,-0.14622756007191368,0.097371215970594,0.06261890184739038,-0.0874268192517283,0.8018295320988527,0.7533334705197811,-0.15129058449155391,0.10660479649332012,0.358389843810726,1.0,-0.19526324812765924,-0.9505402887013358,0.8245480738475769,0.000538678817494343,0.029513449732902333,0.11844218425111426,-0.919677922620281,0.8014020146698202,0.013393181917419231,-0.0071624777113712505,,0.22945533612805852
 Current Liability to Current Assets,0.5993122854958607,-0.4117130952254061,-0.3735941412757725,-0.39997604544704307,-0.14636073884302947,-0.14556493810171628,-0.3851907379052911,-0.3978156008418326,-0.3902324118289063,-0.27789212891917753,-0.36772838050595497,-0.06567097421506557,-0.06555214067052288,-0.5266116040257305,0.24508534202776214,-0.40111826371918585,-0.6870899800796743,-0.6870899800796743,-0.6899038223963812,-0.4732138562618981,-0.34612313580064147,-0.07604014718267715,-0.35438332165243897,-0.45832443754916796,0.19362883087930996,0.08469640321562671,-0.0215242652612772,-0.024438027095245715,-0.0456308091454795,-0.2504667442848347,-0.4857969085083968,-0.14809948354741168,-0.2971993326385498,-0.8073812048429923,-0.7293904984800549,0.21397564431025407,0.4785042810935538,0.7154645126444977,-0.7154645126444982,-0.28867136241840446,0.2877748065700952,0.23763725983529685,-0.35469454730447086,-0.47211720123133805,0.021269836173240457,-0.1979846162507966,0.09825741073179727,-0.14366870487756697,-0.04197731772174576,0.1273568237525214,0.1765799555379956,0.007583739847656019,-0.35160087570648224,0.15227368687103818,-0.9092244005712669,-0.32156428374330104,-0.36463522420093486,-0.26906530437579873,-0.742561893497074,-0.06574893379147759,0.6438080732170917,-0.4271013742379694,0.014916475160559342,-0.6590820440218611,0.14454928631078542,-0.6615535718659162,0.22072571756554168,0.27609042807086803,-0.6195523339862526,-0.48282223015001896,0.16165740233212364,0.14411017755966019,0.12737245101299424,-0.5906759206315573,-0.18479598107155615,-0.1227399919522112,0.2449451398255989,0.14454928631078542,0.22072571756554168,0.15879402044977595,-0.18579469745725205,-0.20517447709948844,-0.41173807765167647,-0.19526324812765924,1.0,0.11337812423352862,-0.4460080731382261,0.1153764772311144,-0.5798998209173393,-0.1463494964597011,0.01924060214775764,0.2405005245249305,0.1270555438502642,-0.12916878720181107,,-0.5771407365420504
 Liability-Assets Flag,0.25924212183361217,-0.7888235112230794,-0.8333780021558241,-0.8243990578376361,-0.0678955011905411,-0.06784990725833057,-0.24051505247681865,-0.31765599272409967,-0.32919690667200174,-0.2589919944825098,-0.30197174114747627,-0.05237954018140947,-0.06391041617685886,-0.13046364352114181,-0.07025090687675423,-0.09462034858917819,-0.4648459112420247,-0.4648459112420247,-0.4600648471484229,-0.703658780680066,-0.24402207263572567,0.0895801397701389,-0.3742914903458339,-0.6791462416889623,0.04207030055664056,-0.061906774404064675,-0.1389110916624189,-0.13885248554306137,-0.5307201984705827,0.07792560396574276,-0.7368062071398415,-0.9228450469060133,-0.6183775164768939,-0.10001721342539874,-0.0777572414962698,-0.031361799238592045,0.8643852392034905,0.37690400789586903,-0.37690400789586903,-0.10958278077396022,-0.8702359119785669,-0.35282627544936984,-0.3686250723487654,-0.6648812210298389,-0.8063176702847504,0.1920722870083298,-0.007005682750577802,-0.025383880139106335,-0.06298547586495355,-0.04843864211071574,0.5687484019068582,0.08299296234718331,-0.34039764414690443,-0.05554380163108102,-0.18762173172846308,0.26770369873572564,0.19122292343340538,0.33163859650203226,-0.06959623416515132,-0.010526315789389774,0.3863039989589946,-0.12537589950412406,-0.04047586380194214,-0.1375399592451355,0.08392462020026852,0.5781738511944848,-0.8931681544486673,-0.017163032840135085,-0.5771817235583805,-0.2144563083507081,0.6525675086570175,0.12452167711406356,0.07530796990996524,-0.06321178619398973,0.2083874457889308,0.15838393549022486,-0.10146493656486909,0.08392462020026852,-0.8931681544486673,-0.8212047495346573,0.4357611154386502,0.11442499995988475,-0.29661066650387036,-0.9505402887013358,0.11337812423352862,1.0,-0.7922400204903876,-0.02424589941859908,0.007353918612551318,-0.06791235863513735,0.9871098679668864,-0.8922701370541336,-0.015723852259362243,0.008843565179978873,,-0.14809223702611177
